t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,target_y
0.03900709219858153,0.01950354609929078,0.013002364066193858,0.006501182033096908,0.0,0.0,0.0,0.0,0.05319148936170212,0.05673758865248224,0.06028368794326239,0.17198581560283688,0.22163120567375888,0.22340425531914893,0.29255319148936165,0.28368794326241137,0.2748226950354609,0.17553191489361702,0.10460992907801417,0.05319148936170212,0.06028368794326239,0.04698581560283688,0.03368794326241134,0.06205673758865246,0.003546099290780147
0.01950354609929078,0.013002364066193858,0.006501182033096908,0.0,0.0,0.0,0.0,0.05319148936170212,0.05673758865248224,0.06028368794326239,0.17198581560283688,0.22163120567375888,0.22340425531914893,0.29255319148936165,0.28368794326241137,0.2748226950354609,0.17553191489361702,0.10460992907801417,0.05319148936170212,0.06028368794326239,0.04698581560283688,0.03368794326241134,0.06205673758865246,0.003546099290780147,0.0053191489361702066
0.013002364066193858,0.006501182033096908,0.0,0.0,0.0,0.0,0.05319148936170212,0.05673758865248224,0.06028368794326239,0.17198581560283688,0.22163120567375888,0.22340425531914893,0.29255319148936165,0.28368794326241137,0.2748226950354609,0.17553191489361702,0.10460992907801417,0.05319148936170212,0.06028368794326239,0.04698581560283688,0.03368794326241134,0.06205673758865246,0.003546099290780147,0.0053191489361702066,0.026595744680851074
0.006501182033096908,0.0,0.0,0.0,0.0,0.05319148936170212,0.05673758865248224,0.06028368794326239,0.17198581560283688,0.22163120567375888,0.22340425531914893,0.29255319148936165,0.28368794326241137,0.2748226950354609,0.17553191489361702,0.10460992907801417,0.05319148936170212,0.06028368794326239,0.04698581560283688,0.03368794326241134,0.06205673758865246,0.003546099290780147,0.0053191489361702066,0.026595744680851074,0.044326241134751754
0.0,0.0,0.0,0.0,0.05319148936170212,0.05673758865248224,0.06028368794326239,0.17198581560283688,0.22163120567375888,0.22340425531914893,0.29255319148936165,0.28368794326241137,0.2748226950354609,0.17553191489361702,0.10460992907801417,0.05319148936170212,0.06028368794326239,0.04698581560283688,0.03368794326241134,0.06205673758865246,0.003546099290780147,0.0053191489361702066,0.026595744680851074,0.044326241134751754,0.024822695035461
0.0,0.0,0.0,0.05319148936170212,0.05673758865248224,0.06028368794326239,0.17198581560283688,0.22163120567375888,0.22340425531914893,0.29255319148936165,0.28368794326241137,0.2748226950354609,0.17553191489361702,0.10460992907801417,0.05319148936170212,0.06028368794326239,0.04698581560283688,0.03368794326241134,0.06205673758865246,0.003546099290780147,0.0053191489361702066,0.026595744680851074,0.044326241134751754,0.024822695035461,0.012411347517730487
0.0,0.0,0.05319148936170212,0.05673758865248224,0.06028368794326239,0.17198581560283688,0.22163120567375888,0.22340425531914893,0.29255319148936165,0.28368794326241137,0.2748226950354609,0.17553191489361702,0.10460992907801417,0.05319148936170212,0.06028368794326239,0.04698581560283688,0.03368794326241134,0.06205673758865246,0.003546099290780147,0.0053191489361702066,0.026595744680851074,0.044326241134751754,0.024822695035461,0.012411347517730487,0.0
0.0,0.05319148936170212,0.05673758865248224,0.06028368794326239,0.17198581560283688,0.22163120567375888,0.22340425531914893,0.29255319148936165,0.28368794326241137,0.2748226950354609,0.17553191489361702,0.10460992907801417,0.05319148936170212,0.06028368794326239,0.04698581560283688,0.03368794326241134,0.06205673758865246,0.003546099290780147,0.0053191489361702066,0.026595744680851074,0.044326241134751754,0.024822695035461,0.012411347517730487,0.0,0.0
0.05319148936170212,0.05673758865248224,0.06028368794326239,0.17198581560283688,0.22163120567375888,0.22340425531914893,0.29255319148936165,0.28368794326241137,0.2748226950354609,0.17553191489361702,0.10460992907801417,0.05319148936170212,0.06028368794326239,0.04698581560283688,0.03368794326241134,0.06205673758865246,0.003546099290780147,0.0053191489361702066,0.026595744680851074,0.044326241134751754,0.024822695035461,0.012411347517730487,0.0,0.0,0.014184397163120574
0.05673758865248224,0.06028368794326239,0.17198581560283688,0.22163120567375888,0.22340425531914893,0.29255319148936165,0.28368794326241137,0.2748226950354609,0.17553191489361702,0.10460992907801417,0.05319148936170212,0.06028368794326239,0.04698581560283688,0.03368794326241134,0.06205673758865246,0.003546099290780147,0.0053191489361702066,0.026595744680851074,0.044326241134751754,0.024822695035461,0.012411347517730487,0.0,0.0,0.014184397163120574,0.023049645390070927
